Case,Choice,Question,Alternative,Rail,Teton,Dirt,Gravel,Paved,Dist,Cost,gender,age_group,age,educ,res,emp,marr,house,house_inc,ID
1,1,1,1,1,0,1,0,0,3.09,91,1,2,26,4,2,6,2,1,5,1
1,0,1,2,0,1,0,0,1,0.89,20,1,2,26,4,2,6,2,1,5,1
1,0,1,3,0,0,0,0,0,0,0,1,2,26,4,2,6,2,1,5,1
2,1,2,1,1,0,1,0,0,3.09,26,1,2,26,4,2,6,2,1,5,1
2,0,2,2,0,1,0,1,0,0.36,48,1,2,26,4,2,6,2,1,5,1
2,0,2,3,0,0,0,0,0,0,0,1,2,26,4,2,6,2,1,5,1
3,0,3,1,1,0,0,0,1,0.49,91,1,2,26,4,2,6,2,1,5,1
3,1,3,2,0,1,0,0,1,0.36,48,1,2,26,4,2,6,2,1,5,1
3,0,3,3,0,0,0,0,0,0,0,1,2,26,4,2,6,2,1,5,1
4,1,4,1,1,0,0,0,1,1.68,26,1,2,26,4,2,6,2,1,5,1
4,0,4,2,0,1,0,1,0,0.36,57,1,2,26,4,2,6,2,1,5,1
4,0,4,3,0,0,0,0,0,0,0,1,2,26,4,2,6,2,1,5,1
5,1,5,1,1,0,1,1,0,3.09,26,1,2,26,4,2,6,2,1,5,1
5,0,5,2,0,1,0,1,0,1.06,20,1,2,26,4,2,6,2,1,5,1
5,0,5,3,0,0,0,0,0,0,0,1,2,26,4,2,6,2,1,5,1
6,0,6,1,1,0,0,0,1,1.68,91,1,2,26,4,2,6,2,1,5,1
6,1,6,2,0,1,1,0,0,1.06,20,1,2,26,4,2,6,2,1,5,1
6,0,6,3,0,0,0,0,0,0,0,1,2,26,4,2,6,2,1,5,1
7,1,7,1,1,0,1,0,0,1.68,167,1,2,26,4,2,6,2,1,5,1
7,0,7,2,0,1,1,0,0,0.89,57,1,2,26,4,2,6,2,1,5,1
7,0,7,3,0,0,0,0,0,0,0,1,2,26,4,2,6,2,1,5,1
8,0,8,1,1,0,0,1,0,0.49,26,1,2,26,4,2,6,2,1,5,1
8,1,8,2,0,1,0,0,1,0.89,57,1,2,26,4,2,6,2,1,5,1
8,0,8,3,0,0,0,0,0,0,0,1,2,26,4,2,6,2,1,5,1
9,0,9,1,1,0,0,1,0,0.49,167,1,2,26,4,2,6,2,1,5,1
9,1,9,2,0,1,1,0,0,1.06,48,1,2,26,4,2,6,2,1,5,1
9,0,9,3,0,0,0,0,0,0,0,1,2,26,4,2,6,2,1,5,1
10,0,1,1,1,0,0,1,0,1.68,91,1,3,38,5,1,2,1,5,11,2
10,1,1,2,0,1,0,1,0,0.89,48,1,3,38,5,1,2,1,5,11,2
10,0,1,3,0,0,0,0,0,0,0,1,3,38,5,1,2,1,5,11,2
11,0,2,1,1,0,1,0,0,1.68,26,1,3,38,5,1,2,1,5,11,2
11,1,2,2,0,1,0,0,1,1.06,48,1,3,38,5,1,2,1,5,11,2
11,0,2,3,0,0,0,0,0,0,0,1,3,38,5,1,2,1,5,11,2
12,0,3,1,1,0,0,1,0,1.68,167,1,3,38,5,1,2,1,5,11,2
12,1,3,2,0,1,0,0,1,0.36,20,1,3,38,5,1,2,1,5,11,2
12,0,3,3,0,0,0,0,0,0,0,1,3,38,5,1,2,1,5,11,2
13,1,4,1,1,0,0,0,1,3.09,26,1,3,38,5,1,2,1,5,11,2
