Case,Alternative,Choice,Rail,Teton,Dirt,Gravel,Paved,Dist,Cost,gender,age_group,age,educ,res,emp,marr,house,house_inc,ID,Question,,Case_p,Alternative_p,Choice_p,Rail_p,Teton_p,Dirt_p,Gravel_p,Paved_p,Dist_p,Cost_p,ID_p,Question_p,,Case_s,Alternative_s,Choice_s,Rail_s,Teton_s,Dirt_s,Gravel_s,Paved_s,Dist_s,Cost_s,ID_s,Question_s
10,1,0,1,0,0,1,0,1.68,91,1,3,38,5,1,2,1,5,11,2,1,,10,1,0,1,0,0,1,0,1.68,91,2,1,,1,1,1,1,0,1,0,0,3.09,91,1,1
10,2,1,0,1,0,1,0,0.89,48,1,3,38,5,1,2,1,5,11,2,1,,10,2,1,0,1,0,1,0,0.89,48,2,1,,1,2,0,0,1,0,0,1,0.89,20,1,1
10,3,0,0,0,0,0,0,0,0,1,3,38,5,1,2,1,5,11,2,1,,10,3,0,0,0,0,0,0,0,0,2,1,,1,3,0,0,0,0,0,0,0,0,1,1
11,1,0,1,0,1,0,0,1.68,26,1,3,38,5,1,2,1,5,11,2,2,,11,1,0,1,0,1,0,0,1.68,26,2,2,,2,1,1,1,0,1,0,0,3.09,26,1,2
11,2,1,0,1,0,0,1,1.06,48,1,3,38,5,1,2,1,5,11,2,2,,11,2,1,0,1,0,0,1,1.06,48,2,2,,2,2,0,0,1,0,1,0,0.36,48,1,2
11,3,0,0,0,0,0,0,0,0,1,3,38,5,1,2,1,5,11,2,2,,11,3,0,0,0,0,0,0,0,0,2,2,,2,3,0,0,0,0,0,0,0,0,1,2
12,1,0,1,0,0,1,0,1.68,167,1,3,38,5,1,2,1,5,11,2,3,,12,1,0,1,0,0,1,0,1.68,167,2,3,,3,1,0,1,0,0,0,1,0.49,91,1,3
12,2,1,0,1,0,0,1,0.36,20,1,3,38,5,1,2,1,5,11,2,3,,12,2,1,0,1,0,0,1,0.36,20,2,3,,3,2,1,0,1,0,0,1,0.36,48,1,3
12,3,0,0,0,0,0,0,0,0,1,3,38,5,1,2,1,5,11,2,3,,12,3,0,0,0,0,0,0,0,0,2,3,,3,3,0,0,0,0,0,0,0,0,1,3
13,1,1,1,0,0,0,1,3.09,26,1,3,38,5,1,2,1,5,11,2,4,,13,1,1,1,0,0,0,1,3.09,26,2,4,,4,1,1,1,0,0,0,1,1.68,26,1,4
13,2,0,0,1,1,0,0,0.89,48,1,3,38,5,1,2,1,5,11,2,4,,13,2,0,0,1,1,0,0,0.89,48,2,4,,4,2,0,0,1,0,1,0,0.36,57,1,4
13,3,0,0,0,0,0,0,0,0,1,3,38,5,1,2,1,5,11,2,4,,13,3,0,0,0,0,0,0,0,0,2,4,,4,3,0,0,0,0,0,0,0,0,1,4
14,1,0,1,0,1,0,0,0.49,91,1,3,38,5,1,2,1,5,11,2,5,,14,1,0,1,0,1,0,0,0.49,91,2,5,,5,1,1,1,0,1,1,0,3.09,26,1,5
14,2,1,0,1,0,1,0,1.06,57,1,3,38,5,1,2,1,5,11,2,5,,14,2,1,0,1,0,1,0,1.06,57,2,5,,5,2,0,0,1,0,1,0,1.06,20,1,5
14,3,0,0,0,0,0,0,0,0,1,3,38,5,1,2,1,5,11,2,5,,14,3,0,0,0,0,0,0,0,0,2,5,,5,3,0,0,0,0,0,0,0,0,1,5
15,1,0,1,0,0,0,1,0.49,167,1,3,38,5,1,2,1,5,11,2,6,,15,1,0,1,0,0,0,1,0.49,167,2,6,,6,1,0,1,0,0,0,1,1.68,91,1,6
15,2,1,0,1,0,1,0,0.89,20,1,3,38,5,1,2,1,5,11,2,6,,15,2,1,0,1,0,1,0,0.89,20,2,6,,6,2,1,0,1,1,0,0,1.06,20,1,6
15,3,0,0,0,0,0,0,0,0,1,3,38,5,1,2,1,5,11,2,6,,15,3,0,0,0,0,0,0,0,0,2,6,,6,3,0,0,0,0,0,0,0,0,1,6
16,1,0,1,0,0,0,1,3.09,167,1,3,38,5,1,2,1,5,11,2,7,,16,1,0,1,0,0,0,1,3.09,167,2,7,,7,1,1,1,0,1,0,0,1.68,167,1,7
16,2,1,0,1,0,0,1,1.06,57,1,3,38,5,1,2,1,5,11,2,7,,16,2,1,0,1,0,0,1,1.06,57,2,7,,7,2,0,0,1,1,0,0,0.89,57,1,7
16,3,0,0,0,0,0,0,0,0,1,3,38,5,1,2,1,5,11,2,7,,16,3,0,0,0,0,0,0,0,0,2,7,,7,3,0,0,0,0,0,0,0,0,1,7
17,1,0,1,0,1,0,0,0.49,26,1,3,38,5,1,2,1,5,11,2,8,,17,1,0,1,0,1,0,0,0.49,26,2,8,,8,1,0,1,0,0,1,0,0.49,26,1,8
17,2,1,0,1,1,0,0,0.36,20,1,3,38,5,1,2,1,5,11,2,8,,17,2,1,0,1,1,0,0,0.36,20,2,8,,8,2,1,0,1,0,0,1,0.89,57,1,8
17,3,0,0,0,0,0,0,0,0,1,3,38,5,1,2,1,5,11,2,8,,17,3,0,0,0,0,0,0,0,0,2,8,,8,3,0,0,0,0,0,0,0,0,1,8
18,1,0,1,0,0,1,0,3.09,91,1,3,38,5,1,2,1,5,11,2,9,,18,1,0,1,0,0,1,0,3.09,91,2,9,,9,1,0,1,0,0,1,0,0.49,167,1,9
18,2,1,0,1,1,0,0,0.36,57,1,3,38,5,1,2,1,5,11,2,9,,18,2,1,0,1,1,0,0,0.36,57,2,9,,9,2,1,0,1,1,0,0,1.06,48,1,9
18,3,0,0,0,0,0,0,0,0,1,3,38,5,1,2,1,5,11,2,9,,18,3,0,0,0,0,0,0,0,0,2,9,,9,3,0,0,0,0,0,0,0,0,1,9
19,1,0,1,0,1,0,0,3.09,91,1,0,0,4,1,1,2,1,0,3,1,,19,1,0,1,0,1,0,0,3.09,91,3,1,,28,1,0,1,0,1,0,0,3.09,91,4,1
19,2,0,0,1,0,0,1,0.89,20,1,0,0,4,1,1,2,1,0,3,1,,19,2,0,0,1,0,0,1,0.89,20,3,1,,28,2,1,0,1,0,0,1,0.89,20,4,1
19,3,1,0,0,0,0,0,0,0,1,0,0,4,1,1,2,1,0,3,1,,19,3,1,0,0,0,0,0,0,0,3,1,,28,3,0,0,0,0,0,0,0,0,4,1
20,1,0,1,0,1,0,0,3.09,26,1,0,0,4,1,1,2,1,0,3,2,,20,1,0,1,0,1,0,0,3.09,26,3,2,,29,1,0,1,0,1,0,0,3.09,26,4,2
20,2,0,0,1,0,1,0,0.36,48,1,0,0,4,1,1,2,1,0,3,2,,20,2,0,0,1,0,1,0,0.36,48,3,2,,29,2,1,0,1,0,1,0,0.36,48,4,2
20,3,1,0,0,0,0,0,0,0,1,0,0,4,1,1,2,1,0,3,2,,20,3,1,0,0,0,0,0,0,0,3,2,,29,3,0,0,0,0,0,0,0,0,4,2
21,1,0,1,0,0,0,1,0.49,91,1,0,0,4,1,1,2,1,0,3,3,,21,1,0,1,0,0,0,1,0.49,91,3,3,,30,1,0,1,0,0,0,1,0.49,91,4,3
21,2,0,0,1,0,0,1,0.36,48,1,0,0,4,1,1,2,1,0,3,3,,21,2,0,0,1,0,0,1,0.36,48,3,3,,30,2,1,0,1,0,0,1,0.36,48,4,3
21,3,1,0,0,0,0,0,0,0,1,0,0,4,1,1,2,1,0,3,3,,21,3,1,0,0,0,0,0,0,0,3,3,,30,3,0,0,0,0,0,0,0,0,4,3
22,1,0,1,0,0,0,1,1.68,26,1,0,0,4,1,1,2,1,0,3,4,,22,1,0,1,0,0,0,1,1.68,26,3,4,,31,1,1,1,0,0,0,1,1.68,26,4,4
22,2,0,0,1,0,1,0,0.36,57,1,0,0,4,1,1,2,1,0,3,4,,22,2,0,0,1,0,1,0,0.36,57,3,4,,31,2,0,0,1,0,1,0,0.36,57,4,4
22,3,1,0,0,0,0,0,0,0,1,0,0,4,1,1,2,1,0,3,4,,22,3,1,0,0,0,0,0,0,0,3,4,,31,3,0,0,0,0,0,0,0,0,4,4
23,1,0,1,0,1,1,0,3.09,26,1,0,0,4,1,1,2,1,0,3,5,,23,1,0,1,0,1,1,0,3.09,26,3,5,,32,1,0,1,0,1,1,0,3.09,26,4,5
23,2,0,0,1,0,1,0,1.06,20,1,0,0,4,1,1,2,1,0,3,5,,23,2,0,0,1,0,1,0,1.06,20,3,5,,32,2,1,0,1,0,1,0,1.06,20,4,5
23,3,1,0,0,0,0,0,0,0,1,0,0,4,1,1,2,1,0,3,5,,23,3,1,0,0,0,0,0,0,0,3,5,,32,3,0,0,0,0,0,0,0,0,4,5
24,1,0,1,0,0,0,1,1.68,91,1,0,0,4,1,1,2,1,0,3,6,,24,1,0,1,0,0,0,1,1.68,91,3,6,,33,1,0,1,0,0,0,1,1.68,91,4,6
24,2,0,0,1,1,0,0,1.06,20,1,0,0,4,1,1,2,1,0,3,6,,24,2,0,0,1,1,0,0,1.06,20,3,6,,33,2,0,0,1,1,0,0,1.06,20,4,6
24,3,1,0,0,0,0,0,0,0,1,0,0,4,1,1,2,1,0,3,6,,24,3,1,0,0,0,0,0,0,0,3,6,,33,3,1,0,0,0,0,0,0,0,4,6
25,1,0,1,0,1,0,0,1.68,167,1,0,0,4,1,1,2,1,0,3,7,,25,1,0,1,0,1,0,0,1.68,167,3,7,,34,1,0,1,0,1,0,0,1.68,167,4,7
25,2,0,0,1,1,0,0,0.89,57,1,0,0,4,1,1,2,1,0,3,7,,25,2,0,0,1,1,0,0,0.89,57,3,7,,34,2,1,0,1,1,0,0,0.89,57,4,7
25,3,1,0,0,0,0,0,0,0,1,0,0,4,1,1,2,1,0,3,7,,25,3,1,0,0,0,0,0,0,0,3,7,,34,3,0,0,0,0,0,0,0,0,4,7
26,1,0,1,0,0,1,0,0.49,26,1,0,0,4,1,1,2,1,0,3,8,,26,1,0,1,0,0,1,0,0.49,26,3,8,,35,1,0,1,0,0,1,0,0.49,26,4,8
26,2,0,0,1,0,0,1,0.89,57,1,0,0,4,1,1,2,1,0,3,8,,26,2,0,0,1,0,0,1,0.89,57,3,8,,35,2,1,0,1,0,0,1,0.89,57,4,8
26,3,1,0,0,0,0,0,0,0,1,0,0,4,1,1,2,1,0,3,8,,26,3,1,0,0,0,0,0,0,0,3,8,,35,3,0,0,0,0,0,0,0,0,4,8
27,1,0,1,0,0,1,0,0.49,167,1,0,0,4,1,1,2,1,0,3,9,,27,1,0,1,0,0,1,0,0.49,167,3,9,,36,1,0,1,0,0,1,0,0.49,167,4,9
27,2,0,0,1,1,0,0,1.06,48,1,0,0,4,1,1,2,1,0,3,9,,27,2,0,0,1,1,0,0,1.06,48,3,9,,36,2,0,0,1,1,0,0,1.06,48,4,9
27,3,1,0,0,0,0,0,0,0,1,0,0,4,1,1,2,1,0,3,9,,27,3,1,0,0,0,0,0,0,0,3,9,,36,3,1,0,0,0,0,0,0,0,4,9
37,1,0,1,0,1,0,0,3.09,91,0,1,23,5,1,1,1,2,2,5,1,,37,1,0,1,0,1,0,0,3.09,91,5,1,,64,1,0,1,0,0,1,0,1.68,91,8,1
37,2,1,0,1,0,0,1,0.89,20,0,1,23,5,1,1,1,2,2,5,1,,37,2,1,0,1,0,0,1,0.89,20,5,1,,64,2,1,0,1,0,1,0,0.89,48,8,1
37,3,0,0,0,0,0,0,0,0,0,1,23,5,1,1,1,2,2,5,1,,37,3,0,0,0,0,0,0,0,0,5,1,,64,3,0,0,0,0,0,0,0,0,8,1
38,1,0,1,0,1,0,0,3.09,26,0,1,23,5,1,1,1,2,2,5,2,,38,1,0,1,0,1,0,0,3.09,26,5,2,,65,1,1,1,0,1,0,0,1.68,26,8,2
38,2,1,0,1,0,1,0,0.36,48,0,1,23,5,1,1,1,2,2,5,2,,38,2,1,0,1,0,1,0,0.36,48,5,2,,65,2,0,0,1,0,0,1,1.06,48,8,2
38,3,0,0,0,0,0,0,0,0,0,1,23,5,1,1,1,2,2,5,2,,38,3,0,0,0,0,0,0,0,0,5,2,,65,3,0,0,0,0,0,0,0,0,8,2
39,1,0,1,0,0,0,1,0.49,91,0,1,23,5,1,1,1,2,2,5,3,,39,1,0,1,0,0,0,1,0.49,91,5,3,,66,1,0,1,0,0,1,0,1.68,167,8,3
39,2,1,0,1,0,0,1,0.36,48,0,1,23,5,1,1,1,2,2,5,3,,39,2,1,0,1,0,0,1,0.36,48,5,3,,66,2,0,0,1,0,0,1,0.36,20,8,3
39,3,0,0,0,0,0,0,0,0,0,1,23,5,1,1,1,2,2,5,3,,39,3,0,0,0,0,0,0,0,0,5,3,,66,3,1,0,0,0,0,0,0,0,8,3
40,1,0,1,0,0,0,1,1.68,26,0,1,23,5,1,1,1,2,2,5,4,,40,1,0,1,0,0,0,1,1.68,26,5,4,,67,1,0,1,0,0,0,1,3.09,26,8,4
40,2,1,0,1,0,1,0,0.36,57,0,1,23,5,1,1,1,2,2,5,4,,40,2,1,0,1,0,1,0,0.36,57,5,4,,67,2,1,0,1,1,0,0,0.89,48,8,4
40,3,0,0,0,0,0,0,0,0,0,1,23,5,1,1,1,2,2,5,4,,40,3,0,0,0,0,0,0,0,0,5,4,,67,3,0,0,0,0,0,0,0,0,8,4
41,1,0,1,0,1,1,0,3.09,26,0,1,23,5,1,1,1,2,2,5,5,,41,1,0,1,0,1,1,0,3.09,26,5,5,,68,1,1,1,0,1,0,0,0.49,91,8,5
41,2,1,0,1,0,1,0,1.06,20,0,1,23,5,1,1,1,2,2,5,5,,41,2,1,0,1,0,1,0,1.06,20,5,5,,68,2,0,0,1,0,1,0,1.06,57,8,5
41,3,0,0,0,0,0,0,0,0,0,1,23,5,1,1,1,2,2,5,5,,41,3,0,0,0,0,0,0,0,0,5,5,,68,3,0,0,0,0,0,0,0,0,8,5
42,1,0,1,0,0,0,1,1.68,91,0,1,23,5,1,1,1,2,2,5,6,,42,1,0,1,0,0,0,1,1.68,91,5,6,,69,1,0,1,0,0,0,1,0.49,167,8,6
42,2,1,0,1,1,0,0,1.06,20,0,1,23,5,1,1,1,2,2,5,6,,42,2,1,0,1,1,0,0,1.06,20,5,6,,69,2,1,0,1,0,1,0,0.89,20,8,6
42,3,0,0,0,0,0,0,0,0,0,1,23,5,1,1,1,2,2,5,6,,42,3,0,0,0,0,0,0,0,0,5,6,,69,3,0,0,0,0,0,0,0,0,8,6
43,1,0,1,0,1,0,0,1.68,167,0,1,23,5,1,1,1,2,2,5,7,,43,1,0,1,0,1,0,0,1.68,167,5,7,,70,1,0,1,0,0,0,1,3.09,167,8,7
43,2,1,0,1,1,0,0,0.89,57,0,1,23,5,1,1,1,2,2,5,7,,43,2,1,0,1,1,0,0,0.89,57,5,7,,70,2,1,0,1,0,0,1,1.06,57,8,7
43,3,0,0,0,0,0,0,0,0,0,1,23,5,1,1,1,2,2,5,7,,43,3,0,0,0,0,0,0,0,0,5,7,,70,3,0,0,0,0,0,0,0,0,8,7
44,1,0,1,0,0,1,0,0.49,26,0,1,23,5,1,1,1,2,2,5,8,,44,1,0,1,0,0,1,0,0.49,26,5,8,,71,1,1,1,0,1,0,0,0.49,26,8,8
44,2,1,0,1,0,0,1,0.89,57,0,1,23,5,1,1,1,2,2,5,8,,44,2,1,0,1,0,0,1,0.89,57,5,8,,71,2,0,0,1,1,0,0,0.36,20,8,8
44,3,0,0,0,0,0,0,0,0,0,1,23,5,1,1,1,2,2,5,8,,44,3,0,0,0,0,0,0,0,0,5,8,,71,3,0,0,0,0,0,0,0,0,8,8
45,1,0,1,0,0,1,0,0.49,167,0,1,23,5,1,1,1,2,2,5,9,,45,1,0,1,0,0,1,0,0.49,167,5,9,,72,1,0,1,0,0,1,0,3.09,91,8,9
45,2,1,0,1,1,0,0,1.06,48,0,1,23,5,1,1,1,2,2,5,9,,45,2,1,0,1,1,0,0,1.06,48,5,9,,72,2,1,0,1,1,0,0,0.36,57,8,9
45,3,0,0,0,0,0,0,0,0,0,1,23,5,1,1,1,2,2,5,9,,45,3,0,0,0,0,0,0,0,0,5,9,,72,3,0,0,0,0,0,0,0,0,8,9
55,1,0,1,0,1,0,0,3.09,91,0,1,19,3,1,2,1,3,4,7,1,,55,1,0,1,0,1,0,0,3.09,91,7,1,,73,1,0,1,0,1,0,0,3.09,91,9,1
55,2,1,0,1,0,0,1,0.89,20,0,1,19,3,1,2,1,3,4,7,1,,55,2,1,0,1,0,0,1,0.89,20,7,1,,73,2,1,0,1,0,0,1,0.89,20,9,1
55,3,0,0,0,0,0,0,0,0,0,1,19,3,1,2,1,3,4,7,1,,55,3,0,0,0,0,0,0,0,0,7,1,,73,3,0,0,0,0,0,0,0,0,9,1
56,1,1,1,0,1,0,0,3.09,26,0,1,19,3,1,2,1,3,4,7,2,,56,1,1,1,0,1,0,0,3.09,26,7,2,,74,1,0,1,0,1,0,0,3.09,26,9,2
56,2,0,0,1,0,1,0,0.36,48,0,1,19,3,1,2,1,3,4,7,2,,56,2,0,0,1,0,1,0,0.36,48,7,2,,74,2,1,0,1,0,1,0,0.36,48,9,2
56,3,0,0,0,0,0,0,0,0,0,1,19,3,1,2,1,3,4,7,2,,56,3,0,0,0,0,0,0,0,0,7,2,,74,3,0,0,0,0,0,0,0,0,9,2
57,1,0,1,0,0,0,1,0.49,91,0,1,19,3,1,2,1,3,4,7,3,,57,1,0,1,0,0,0,1,0.49,91,7,3,,75,1,0,1,0,0,0,1,0.49,91,9,3
57,2,1,0,1,0,0,1,0.36,48,0,1,19,3,1,2,1,3,4,7,3,,57,2,1,0,1,0,0,1,0.36,48,7,3,,75,2,1,0,1,0,0,1,0.36,48,9,3
57,3,0,0,0,0,0,0,0,0,0,1,19,3,1,2,1,3,4,7,3,,57,3,0,0,0,0,0,0,0,0,7,3,,75,3,0,0,0,0,0,0,0,0,9,3
58,1,0,1,0,0,0,1,1.68,26,0,1,19,3,1,2,1,3,4,7,4,,58,1,0,1,0,0,0,1,1.68,26,7,4,,76,1,0,1,0,0,0,1,1.68,26,9,4
58,2,1,0,1,0,1,0,0.36,57,0,1,19,3,1,2,1,3,4,7,4,,58,2,1,0,1,0,1,0,0.36,57,7,4,,76,2,1,0,1,0,1,0,0.36,57,9,4
58,3,0,0,0,0,0,0,0,0,0,1,19,3,1,2,1,3,4,7,4,,58,3,0,0,0,0,0,0,0,0,7,4,,76,3,0,0,0,0,0,0,0,0,9,4
59,1,0,1,0,1,1,0,3.09,26,0,1,19,3,1,2,1,3,4,7,5,,59,1,0,1,0,1,1,0,3.09,26,7,5,,77,1,0,1,0,1,1,0,3.09,26,9,5
59,2,1,0,1,0,1,0,1.06,20,0,1,19,3,1,2,1,3,4,7,5,,59,2,1,0,1,0,1,0,1.06,20,7,5,,77,2,1,0,1,0,1,0,1.06,20,9,5
59,3,0,0,0,0,0,0,0,0,0,1,19,3,1,2,1,3,4,7,5,,59,3,0,0,0,0,0,0,0,0,7,5,,77,3,0,0,0,0,0,0,0,0,9,5
60,1,0,1,0,0,0,1,1.68,91,0,1,19,3,1,2,1,3,4,7,6,,60,1,0,1,0,0,0,1,1.68,91,7,6,,78,1,0,1,0,0,0,1,1.68,91,9,6
60,2,1,0,1,1,0,0,1.06,20,0,1,19,3,1,2,1,3,4,7,6,,60,2,1,0,1,1,0,0,1.06,20,7,6,,78,2,1,0,1,1,0,0,1.06,20,9,6
60,3,0,0,0,0,0,0,0,0,0,1,19,3,1,2,1,3,4,7,6,,60,3,0,0,0,0,0,0,0,0,7,6,,78,3,0,0,0,0,0,0,0,0,9,6
61,1,0,1,0,1,0,0,1.68,167,0,1,19,3,1,2,1,3,4,7,7,,61,1,0,1,0,1,0,0,1.68,167,7,7,,79,1,0,1,0,1,0,0,1.68,167,9,7
61,2,1,0,1,1,0,0,0.89,57,0,1,19,3,1,2,1,3,4,7,7,,61,2,1,0,1,1,0,0,0.89,57,7,7,,79,2,1,0,1,1,0,0,0.89,57,9,7
