date,,run_walk,skate,blade,bike,own_bike,bike_wk_freq,lanes,paths,traffic,why_bike,kids_in_school,kids_walk,kids_bike,kids_bike_lane,kids_bike_path,asphalt,gravel,dirt,1_seg,2_seg,3_seg,4_seg,5_seg,6_seg,,c1,c2,c3,c4,c5,c6,c7,c8,c9,gender,age_group,age,educ,res,emp,marr,house,house_inc,id,,
2/4/2021 14:24,,5,1,1,4,1,4,2,1,3,"1,2",2,,,,,1,3,2,5,3,4,2,1,6,,211,221,232,241,251,262,271,282,292,1,2,26,4,2,6,2,1,5,1,,
2/4/2021 14:29,,3,,,4,1,,2,1,3,2,1,1,1,,,1,2,3,2,1,3,6,4,5,,112,122,132,141,152,162,172,182,192,1,3,38,5,1,2,1,5,11,2,,
2/4/2021 14:34,,5,3,2,4,1,,2,1,3,"1,2,3",2,,,,,1,3,2,6,3,2,4,1,5,,213,223,233,243,253,263,273,283,293,1,,,4,1,1,2,1,,3,,
2/4/2021 14:38,,5,,,3,2,,,,,,2,,,,,1,2,3,2,1,3,4,5,6,,212,222,232,241,252,263,272,282,293,1,1,21,3,2,6,2,1,1,4,,
2/4/2021 14:54,,4,,2,4,1,4,2,1,3,"1,3",2,,,,,,,,3,2,1,6,4,5,,212,222,232,242,252,262,272,282,292,0,1,23,5,1,1,1,2,2,5,,
2/4/2021 16:15,,4,,,,2,,,,,,1,3,2,2,2,3,1,2,6,1,4,2,3,5,,111,121,131,141,152,162,172,181,191,1,4,48,3,3,2,1,4,3,6,,
2/4/2021 16:45,,4,3,,5,1,2,2,1,3,"1,2,3",2,,,,,3,2,1,,,,,,,,212,221,232,242,252,262,272,281,292,0,1,19,3,1,2,1,3,4,7,,
2/4/2021 17:06,,3,,1,,2,,,,,,2,,,,,2,3,1,2,5,3,4,6,1,,112,121,133,142,151,162,172,181,192,1,1,21,3,2,1,2,1,1,8,,
2/4/2021 17:16,,4,1,,,2,,,,,,2,,,,,3,2,1,3,1,2,6,5,4,,212,222,232,242,252,262,272,281,292,1,1,23,3,2,6,2,1,2,9,,
2/4/2021 17:23,,4,3,3,4,1,4,1,2,3,"1,2",2,,,,,1,2,3,4,6,5,3,1,2,,111,122,132,141,152,161,171,181,191,1,4,48,3,3,2,2,1,3,10,,
2/4/2021 17:36,,4,3,,2,2,,,,,,2,,,,,1,3,2,2,1,4,5,3,6,,212,222,232,241,252,261,271,282,291,1,1,20,4,2,1,1,2,1,11,,
2/4/2021 18:54,,5,1,2,5,1,3,2,1,3,"1,2",2,,,,,1,3,2,6,3,5,4,2,1,,112,122,131,142,151,162,171,181,191,1,1,22,3,2,1,2,1,1,12,,
