RecordedDate,ResponseId,Q5_1,Q5_2,Q5_3,Q5_4,Q4,Q6,Q1_1,Q1_2,Q1_3,Q8,Q9,Q57,Q10,Q11,Q12,Q29_1,Q29_2,Q29_3,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,1a,2,3,4,5,6,7,8,9,10a,11a,12,13,14,15,16,17,18,19,20a,Q13,Q14,Q21,Q20,Q17,Q58,Q15,Q16,Q14 - Parent Topics,Q14 - Topics
Recorded Date,Response ID,"How likely would you be to participate in the following activities on these trails? - Running, jogging, walking",How likely would you be to participate in the following activities on these trails? - Skateboarding,How likely would you be to participate in the following activities on these trails? - Rollerblading,How likely would you be to participate in the following activities on these trails? - Cycling,Do you own a bicycle?,How often each week do you cycle?,Rank your preferred method when cycling: - Bike lanes,Rank your preferred method when cycling: - Bike paths,Rank your preferred method when cycling: - With traffic,Why do you cycle? (select all that apply),Do you have children in public schools?,Do your kids walk to school?,Do your kids cycle to school?,"If an on-street bike lane is provided, would your kids cycle to school?","If a shared bike/pedestrian path is provided, would your kids cycle to school?","For the type of riding/walking you do, please rank your preference for surface materials from most preferred to least preferred. - Asphalt","For the type of riding/walking you do, please rank your preference for surface materials from most preferred to least preferred. - Crushed stone","For the type of riding/walking you do, please rank your preference for surface materials from most preferred to least preferred. - Dirt","Based on these proposed trail segments, rank your preferences from most preferred to least preferred.

Click to enlarge Rail Trail Overview Map

Click to enlarge Teton River Trail Overview Map - Teton River Trail: A-B","Based on these proposed trail segments, rank your preferences from most preferred to least preferred.

Click to enlarge Rail Trail Overview Map

Click to enlarge Teton River Trail Overview Map - Teton River Trail: C-D","Based on these proposed trail segments, rank your preferences from most preferred to least preferred.

Click to enlarge Rail Trail Overview Map

Click to enlarge Teton River Trail Overview Map - Teton River Trail: E-F","Based on these proposed trail segments, rank your preferences from most preferred to least preferred.

Click to enlarge Rail Trail Overview Map

Click to enlarge Teton River Trail Overview Map - Rail Trail: A-B","Based on these proposed trail segments, rank your preferences from most preferred to least preferred.

Click to enlarge Rail Trail Overview Map

Click to enlarge Teton River Trail Overview Map - Rail Trail: B-C","Based on these proposed trail segments, rank your preferences from most preferred to least preferred.

Click to enlarge Rail Trail Overview Map

Click to enlarge Teton River Trail Overview Map - Rail Trail: D-E",Please select which option you prefer.,Please select which option you prefer.,Please select which option you prefer.,Please select which option you prefer.,Please select which option you prefer.,Please select which option you prefer.,Please select which option you prefer.,Please select which option you prefer.,Please select which option you prefer.,Please select which option you prefer.,Please select which option you prefer.,Please select which option you prefer.,Please select which option you prefer.,Please select which option you prefer.,Please select which option you prefer.,Please select which option you prefer.,Please select which option you prefer.,Please select which option you prefer.,Please select which option you prefer.,Please select which option you prefer.,What is your gender?,What is your age?,What is the highest level of education you have completed?,What is your Rexburg residence status?,What is your employment status?,Are you married?,How many people are there is your household including yourself? (roommates are not counted as household),What is your household income range?,Q14 - Parent Topics,Q14 - Topics
"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID5_4""}","{""ImportId"":""QID4""}","{""ImportId"":""QID6""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID88""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID29_2""}","{""ImportId"":""QID29_3""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID30_2""}","{""ImportId"":""QID30_3""}","{""ImportId"":""QID30_4""}","{""ImportId"":""QID30_5""}","{""ImportId"":""QID30_6""}","{""ImportId"":""QID33""}","{""ImportId"":""QID67""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74""}","{""ImportId"":""QID75""}","{""ImportId"":""QID76""}","{""ImportId"":""QID77""}","{""ImportId"":""QID78""}","{""ImportId"":""QID79""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82""}","{""ImportId"":""QID83""}","{""ImportId"":""QID84""}","{""ImportId"":""QID85""}","{""ImportId"":""QID87""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID20""}","{""ImportId"":""QID17""}","{""ImportId"":""QID89""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID14_TEXT_2c072ee8abbe4addb840939dParTopics""}","{""ImportId"":""QID14_TEXT_2c072ee8abbe4addb840939dTopics""}"
2/4/2021 14:24,1,5,1,1,4,1,4,2,1,3,"1,2",2,,,,,1,3,2,5,3,4,2,1,6,,,,,,,,,,,211,221,232,241,251,262,271,282,292,211,2,26,4,2,6,2,1,5,,
2/4/2021 14:29,2,3,,,4,1,,2,1,3,2,1,1,1,,,1,2,3,2,1,3,6,4,5,112,122,132,141,152,162,172,182,192,112,,,,,,,,,,,2,38,5,1,2,1,5,11,,
2/4/2021 14:33,3,4,,,1,2,,,,,,2,,,,,1,2,3,1,2,3,4,5,6,111,122,132,141,152,161,171,182,191,112,,,,,,,,,,,2,21,3,2,1,2,1,1,,
2/4/2021 14:34,4,5,3,2,4,1,,2,1,3,"1,2,3",2,,,,,1,3,2,6,3,2,4,1,5,,,,,,,,,,,213,223,233,243,253,263,273,283,293,213,2,,4,1,1,2,1,,,
2/4/2021 14:38,5,5,,,3,2,,,,,,2,,,,,1,2,3,2,1,3,4,5,6,,,,,,,,,,,212,222,232,241,252,263,272,282,293,212,2,21,3,2,6,2,1,1,,
2/4/2021 14:54,6,4,,2,4,1,4,2,1,3,"1,3",2,,,,,,,,3,2,1,6,4,5,,,,,,,,,,,212,222,232,242,252,262,272,282,292,212,1,23,5,1,1,1,2,2,,
2/4/2021 16:15,7,4,,,,2,,,,,,1,3,2,2,2,3,1,2,6,1,4,2,3,5,111,121,131,141,152,162,172,181,191,111,,,,,,,,,,,2,48,3,3,2,1,4,3,,
2/4/2021 16:45,8,4,3,,5,1,2,2,1,3,"1,2,3",2,,,,,3,2,1,,,,,,,,,,,,,,,,,212,221,232,242,252,262,272,281,292,212,1,19,3,1,2,1,3,4,,
2/4/2021 17:06,9,3,,1,,2,,,,,,2,,,,,2,3,1,2,5,3,4,6,1,112,121,133,142,151,162,172,181,192,112,,,,,,,,,,,2,21,3,2,1,2,1,1,,
2/4/2021 17:16,10,4,1,,,2,,,,,,2,,,,,3,2,1,3,1,2,6,5,4,,,,,,,,,,,212,222,232,242,252,262,272,281,292,212,2,23,3,2,6,2,1,2,,
2/4/2021 17:23,11,4,3,3,4,1,4,1,2,3,"1,2",2,,,,,1,2,3,4,6,5,3,1,2,111,122,132,141,152,161,171,181,191,111,,,,,,,,,,,2,48,3,3,2,2,1,3,,
2/4/2021 17:36,12,4,3,,2,2,,,,,,2,,,,,1,3,2,2,1,4,5,3,6,,,,,,,,,,,212,222,232,241,252,261,271,282,291,212,2,20,4,2,1,1,2,1,,
2/4/2021 18:43,13,3,,,3,2,,,,,,2,,,,,1,3,2,3,4,1,5,2,6,112,123,132,141,152,162,173,182,193,113,,,,,,,,,,,2,19,3,2,2,2,1,1,,
2/4/2021 18:54,14,5,1,2,5,1,3,2,1,3,"1,2",2,,,,,1,3,2,6,3,5,4,2,1,112,122,131,142,151,162,171,181,191,112,,,,,,,,,,,2,22,3,2,1,2,1,1,,
2/4/2021 19:09,15,5,,,,2,,,,,,2,,,,,3,2,1,1,2,3,4,5,6,,,,,,,,,,,212,222,232,242,252,262,272,282,292,212,2,22,5,2,1,1,3,3,,
2/4/2021 20:58,16,5,,,4,1,4,2,1,3,"1,3",2,,,,,2,1,3,2,3,6,5,1,4,113,123,132,143,153,163,173,182,193,113,,,,,,,,,,,2,24,5,1,6,1,3,2,,
2/5/2021 0:24,17,5,2,3,4,1,4,2,1,3,1,2,,,,,1,3,2,3,1,4,5,2,6,,,,,,,,,,,211,221,232,241,251,262,272,282,292,211,2,18,3,2,6,2,1,1,,
