Key,Rail,Teton,Dirt,Gravel,Paved,Dist,Cost
111,1,0,0,1,0,1.68,91
112,0,1,0,1,0,0.89,48
113,0,0,0,0,0,0,0
121,1,0,1,0,0,1.68,26
122,0,1,0,0,1,1.06,48
123,0,0,0,0,0,0,0
131,1,0,0,1,0,1.68,167
132,0,1,0,0,1,0.36,20
133,0,0,0,0,0,0,0
141,1,0,0,0,1,3.09,26
142,0,1,1,0,0,0.89,48
143,0,0,0,0,0,0,0
151,1,0,1,0,0,0.49,91
152,0,1,0,1,0,1.06,57
153,0,0,0,0,0,0,0
161,1,0,0,0,1,0.49,167
162,0,1,0,1,0,0.89,20
163,0,0,0,0,0,0,0
171,1,0,0,0,1,3.09,167
172,0,1,0,0,1,1.06,57
173,0,0,0,0,0,0,0
181,1,0,1,0,0,0.49,26
182,0,1,1,0,0,0.36,20
183,0,0,0,0,0,0,0
191,1,0,0,1,0,3.09,91
192,0,1,1,0,0,0.36,57
193,0,0,0,0,0,0,0
211,1,0,1,0,0,3.09,91
212,0,1,0,0,1,0.89,20
213,0,0,0,0,0,0,0
221,1,0,1,0,0,3.09,26
222,0,1,0,1,0,0.36,48
223,0,0,0,0,0,0,0
231,1,0,0,0,1,0.49,91
232,0,1,0,0,1,0.36,48
233,0,0,0,0,0,0,0
241,1,0,0,0,1,1.68,26
242,0,1,0,1,0,0.36,57
243,0,0,0,0,0,0,0
251,1,0,1,1,0,3.09,26
252,0,1,0,1,0,1.06,20
253,0,0,0,0,0,0,0
261,1,0,0,0,1,1.68,91
262,0,1,1,0,0,1.06,20
263,0,0,0,0,0,0,0
271,1,0,1,0,0,1.68,167
272,0,1,1,0,0,0.89,57
273,0,0,0,0,0,0,0
281,1,0,0,1,0,0.49,26
282,0,1,0,0,1,0.89,57
283,0,0,0,0,0,0,0
291,1,0,0,1,0,0.49,167
292,0,1,1,0,0,1.06,48
293,0,0,0,0,0,0,0
