Key,Choice,Question,Alternative,Rail,Teton,Dirt,Gravel,Paved,Dist,Cost,gender,age_group,age,educ,res,emp,marr,house,house_inc,ID
211,1,1,1,1,0,1,0,0,3.09,91,1,2,26,4,2,6,2,1,5,1
212,0,1,2,0,1,0,0,1,0.89,20,1,2,26,4,2,6,2,1,5,1
213,0,1,3,0,0,0,0,0,0,0,1,2,26,4,2,6,2,1,5,1
221,1,2,1,1,0,1,0,0,3.09,26,1,2,26,4,2,6,2,1,5,1
222,0,2,2,0,1,0,1,0,0.36,48,1,2,26,4,2,6,2,1,5,1
223,0,2,3,0,0,0,0,0,0,0,1,2,26,4,2,6,2,1,5,1
231,0,3,1,1,0,0,0,1,0.49,91,1,2,26,4,2,6,2,1,5,1
232,1,3,2,0,1,0,0,1,0.36,48,1,2,26,4,2,6,2,1,5,1
233,0,3,3,0,0,0,0,0,0,0,1,2,26,4,2,6,2,1,5,1
241,1,4,1,1,0,0,0,1,1.68,26,1,2,26,4,2,6,2,1,5,1
242,0,4,2,0,1,0,1,0,0.36,57,1,2,26,4,2,6,2,1,5,1
243,0,4,3,0,0,0,0,0,0,0,1,2,26,4,2,6,2,1,5,1
251,1,5,1,1,0,1,1,0,3.09,26,1,2,26,4,2,6,2,1,5,1
252,0,5,2,0,1,0,1,0,1.06,20,1,2,26,4,2,6,2,1,5,1
253,0,5,3,0,0,0,0,0,0,0,1,2,26,4,2,6,2,1,5,1
261,0,6,1,1,0,0,0,1,1.68,91,1,2,26,4,2,6,2,1,5,1
262,1,6,2,0,1,1,0,0,1.06,20,1,2,26,4,2,6,2,1,5,1
263,0,6,3,0,0,0,0,0,0,0,1,2,26,4,2,6,2,1,5,1
271,1,7,1,1,0,1,0,0,1.68,167,1,2,26,4,2,6,2,1,5,1
272,0,7,2,0,1,1,0,0,0.89,57,1,2,26,4,2,6,2,1,5,1
273,0,7,3,0,0,0,0,0,0,0,1,2,26,4,2,6,2,1,5,1
281,0,8,1,1,0,0,1,0,0.49,26,1,2,26,4,2,6,2,1,5,1
282,1,8,2,0,1,0,0,1,0.89,57,1,2,26,4,2,6,2,1,5,1
283,0,8,3,0,0,0,0,0,0,0,1,2,26,4,2,6,2,1,5,1
291,0,9,1,1,0,0,1,0,0.49,167,1,2,26,4,2,6,2,1,5,1
292,1,9,2,0,1,1,0,0,1.06,48,1,2,26,4,2,6,2,1,5,1
293,0,9,3,0,0,0,0,0,0,0,1,2,26,4,2,6,2,1,5,1
111,0,1,1,1,0,0,1,0,1.68,91,1,3,38,5,1,2,1,5,11,2
112,1,1,2,0,1,0,1,0,0.89,48,1,3,38,5,1,2,1,5,11,2
113,0,1,3,0,0,0,0,0,0,0,1,3,38,5,1,2,1,5,11,2
121,0,2,1,1,0,1,0,0,1.68,26,1,3,38,5,1,2,1,5,11,2
122,1,2,2,0,1,0,0,1,1.06,48,1,3,38,5,1,2,1,5,11,2
123,0,2,3,0,0,0,0,0,0,0,1,3,38,5,1,2,1,5,11,2
131,0,3,1,1,0,0,1,0,1.68,167,1,3,38,5,1,2,1,5,11,2
132,1,3,2,0,1,0,0,1,0.36,20,1,3,38,5,1,2,1,5,11,2
133,0,3,3,0,0,0,0,0,0,0,1,3,38,5,1,2,1,5,11,2
141,1,4,1,1,0,0,0,1,3.09,26,1,3,38,5,1,2,1,5,11,2
142,0,4,2,0,1,1,0,0,0.89,48,1,3,38,5,1,2,1,5,11,2
143,0,4,3,0,0,0,0,0,0,0,1,3,38,5,1,2,1,5,11,2
151,0,5,1,1,0,1,0,0,0.49,91,1,3,38,5,1,2,1,5,11,2
152,1,5,2,0,1,0,1,0,1.06,57,1,3,38,5,1,2,1,5,11,2
153,0,5,3,0,0,0,0,0,0,0,1,3,38,5,1,2,1,5,11,2
161,0,6,1,1,0,0,0,1,0.49,167,1,3,38,5,1,2,1,5,11,2
162,1,6,2,0,1,0,1,0,0.89,20,1,3,38,5,1,2,1,5,11,2
163,0,6,3,0,0,0,0,0,0,0,1,3,38,5,1,2,1,5,11,2
171,0,7,1,1,0,0,0,1,3.09,167,1,3,38,5,1,2,1,5,11,2
172,1,7,2,0,1,0,0,1,1.06,57,1,3,38,5,1,2,1,5,11,2
173,0,7,3,0,0,0,0,0,0,0,1,3,38,5,1,2,1,5,11,2
181,0,8,1,1,0,1,0,0,0.49,26,1,3,38,5,1,2,1,5,11,2
182,1,8,2,0,1,1,0,0,0.36,20,1,3,38,5,1,2,1,5,11,2
183,0,8,3,0,0,0,0,0,0,0,1,3,38,5,1,2,1,5,11,2
